cores, pop_size, num_particles, migration_interval, migration_rate, final_fitness, gen_count, elapsed, elapsed/gen_count

4, 1000, 50, 50, 0.050000, 207637.850463, 800, 23.409, 0.029262
4, 2000, 50, 50, 0.050000, 231889.055274, 800, 46.060, 0.057575
4, 3000, 50, 50, 0.050000, 236031.406250, 800, 69.028, 0.086285
4, 5000, 50, 50, 0.050000, 248349.140625, 800, 114.702, 0.143377
4, 7000, 50, 50, 0.050000, 268839.457518, 800, 159.490, 0.199362
4, 10000, 50, 50, 0.050000, 268945.610066, 800, 233.652, 0.292065
4, 12000, 50, 50, 0.050000, 260774.689354, 800, 284.465, 0.355581
4, 15000, 50, 50, 0.050000, 285243.494899, 800, 359.148, 0.448934
