
4, 2000, 20, 89652.607098, 300, 20.117, 0.067056
4, 4000, 20, 97660.054245, 248, 33.103, 0.133478
4, 8000, 20, 97660.583084, 159, 42.863, 0.269581
4, 16000, 20, 89430.391477, 229, 123.066, 0.537407
4, 32000, 20, 89430.391488, 169, 182.108, 1.077564
4, 64000, 20, 81311.000269, 164, 352.395, 2.148750

2, 2000, 20, 93517.721173, 329, 15.791, 0.047998
2, 4000, 20, 85398.750718, 266, 25.119, 0.094431
2, 8000, 20, 109921.474142, 363, 69.930, 0.192644
2, 16000, 20, 101856.749007, 223, 86.188, 0.386492
2, 32000, 20, 97660.782978, 162, 123.504, 0.762371
2, 64000, 20, 97660.782978, 226, 349.423, 1.546120

4, 2000, 20, 93629.032193, 305, 21.120, 0.069246
4, 4000, 20, 89375.000572, 182, 25.749, 0.141477
4, 8000, 20, 97660.583085, 280, 76.986, 0.274951
4, 16000, 20, 97660.782978, 212, 113.710, 0.536370
4, 32000, 20, 97715.577598, 187, 203.284, 1.087079
4, 64000, 20, 89430.391459, 143, 312.185, 2.183109

8, 2000, 20, 81310.860585, 203, 19.950, 0.098277
8, 4000, 20, 97660.055584, 172, 34.214, 0.198916
